Years,Afghanistan,Africa,Algeria,Angola,AntiguaandBarbuda,Australia,Brazil,SouthAfrica,UnitedKingdom,UnitedStates
2005,6.478,4.9,2.724,6.35,2,1.952,1.86,2.625,1.862,2.055
2010,5.447,4.73,2.96,6,2,1.885,1.77,2.55,1.866,1.875
2015,4.555,4.438,3.05,5.55,2,1.832,1.74,2.414,1.75,1.776
2020,3.851,4.155,2.789,5.213,1.95,1.784,1.668,2.309,1.754,1.784
2025,3.301,3.893,2.59,4.904,1.912,1.759,1.613,2.218,1.759,1.792
2030,2.908,3.651,2.433,4.616,1.874,1.746,1.584,2.137,1.763,1.797
2035,2.632,3.434,2.312,4.342,1.847,1.731,1.565,2.069,1.766,1.8
2040,2.426,3.242,2.213,4.106,1.82,1.723,1.563,2.005,1.77,1.802
2045,2.26,3.071,2.131,3.882,1.805,1.719,1.572,1.955,1.771,1.806
